contract_id,invoice_date,worker_id,worker_nationality,worker_profession,client_company,client_sector,region,contract_type,contract_duration_months,purchase_order_amount_sar,worker_salary_sar,operational_cost_sar,net_profit_sar,profit_margin_pct
MP-2024-78494,24/01/2025,W-010110,Sri Lankan,Electrician,NEOM,Mega Project,Tabuk,Annual,12,83736,44160,16440,23136,27.63
MP-2024-91987,4/8/2024,W-010112,Nepali,Pipe Fitter,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,1,7009,3135,1002,-309,-4.41
MP-2025-69510,13/03/2024,W-010115,Pakistani,Scaffolder,Royal Commission Jubail,Industrial,Eastern Province,Annual,12,65940,37500,8832,19608,29.74
MP-2024-44816,25/05/2024,W-010116,Indian,Helper / Labourer,NEOM,Mega Project,Tabuk,Multi-Year,24,86928,37512,21072,28344,32.61
MP-2025-75597,6/7/2025,W-010118,Bangladeshi,Safety Officer,Petro Rabigh,Petrochemical,Makkah,Annual,12,102672,65160,12324,25188,24.53
MP-2024-98117,2/10/2024,W-010121,Indian,Helper / Labourer,Saudi Electricity Co.,Power,Riyadh,Annual,12,41004,22200,13068,5736,13.99
MP-2025-21959,26/04/2025,W-010123,Bangladeshi,Electrician,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,3,23496,11754,4077,7665,32.62
MP-2024-69614,31/03/2024,W-010125,Pakistani,Welder,Royal Commission Jubail,Industrial,Eastern Province,Multi-Year,18,114696,58536,17280,38880,33.9
MP-2025-91609,25/05/2025,W-010128,Bangladeshi,Welder,SABIC,Petrochemical,Eastern Province,Short-Term,3,18852,8703,2223,7926,42.04
MP-2024-30758,14/11/2024,W-010131,Indian,Industrial Painter,SABIC,Petrochemical,Eastern Province,Multi-Year,18,80172,44172,22932,13068,16.3
MP-2025-76698,23/12/2025,W-010133,Bangladeshi,Mechanical Technician,Ma'aden,Mining,Northern Borders,Annual,12,65484,37068,13200,15216,23.24
MP-2024-19150,9/10/2024,W-010135,Pakistani,Helper / Labourer,SABIC,Petrochemical,Eastern Province,Short-Term,3,12096,5406,3435,3255,26.91
MP-2025-80592,10/5/2025,W-010137,Pakistani,Helper / Labourer,Saudi Electricity Co.,Power,Riyadh,Multi-Year,24,85320,45312,22488,17520,20.53
MP-2025-15720,21/11/2024,W-010140,Bangladeshi,Warehouse Keeper,Saudi Electricity Co.,Power,Riyadh,Multi-Year,24,122112,74232,24648,23232,19.03
MP-2024-67711,12/4/2024,W-010143,Sri Lankan,Welder,Saudi Aramco,Oil & Gas,Eastern Province,Multi-Year,24,130080,55680,20376,54024,41.53
MP-2025-95175,23/03/2024,W-010145,Yemeni,Helper / Labourer,Saudi Electricity Co.,Power,Riyadh,Short-Term,3,9600,5469,2103,2028,21.12
MP-2025-39817,2/4/2024,W-010147,Saudi,Helper / Labourer,Diriyah Company,Real Estate,Riyadh,Short-Term,2,10346,6046,872,3428,33.13
MP-2025-66450,29/05/2024,W-010148,Filipino,Civil Foreman,Royal Commission Jubail,Industrial,Eastern Province,Short-Term,1,8537,5024,1162,2351,27.54
MP-2024-40433,17/04/2025,W-010151,Pakistani,Scaffolder,Saudi Aramco,Oil & Gas,Eastern Province,Multi-Year,24,136704,70776,23544,42384,31
MP-2025-93746,10/3/2025,W-010154,Pakistani,Helper / Labourer,SABIC,Petrochemical,Eastern Province,Annual,12,38304,19080,12948,6276,16.38
MP-2025-12875,5/11/2025,W-010156,Pakistani,Civil Foreman,Red Sea Global,Tourism Dev,Tabuk,Annual,12,80940,43476,12276,25188,31.12
MP-2025-40162,13/09/2025,W-010158,Indian,Pipe Fitter,SABIC,Petrochemical,Eastern Province,Annual,12,96060,45372,9036,41652,43.36
MP-2024-50492,27/03/2025,W-010159,Filipino,Helper / Labourer,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,3,8601,4215,3165,1221,14.2
MP-2025-31567,20/09/2024,W-010161,Saudi,Scaffolder,Petro Rabigh,Petrochemical,Makkah,Multi-Year,36,394632,175536,16308,202788,51.39
MP-2025-83048,9/1/2025,W-010162,Sudanese,Welder,NEOM,Mega Project,Tabuk,Annual,12,90588,39324,13056,38208,42.18
MP-2025-24201,22/11/2025,W-010163,Bangladeshi,QC Inspector,NWC,Water,Riyadh,Short-Term,6,43554,29586,9510,4458,10.24
MP-2025-95097,22/02/2025,W-010164,Indian,Civil Engineer,Sadara Chemical,Petrochemical,Eastern Province,Annual,12,169032,89832,11280,67920,40.18
MP-2025-86983,7/6/2024,W-010166,Nepali,Helper / Labourer,ROSHN,Real Estate,Riyadh,Multi-Year,24,59304,31680,23592,4032,6.8
MP-2025-23022,3/12/2025,W-010168,Filipino,Site Supervisor,Sadara Chemical,Petrochemical,Eastern Province,Annual,12,99876,60828,19296,19752,19.78
MP-2024-94109,16/10/2025,W-010171,Saudi,Welder,Sadara Chemical,Petrochemical,Eastern Province,Multi-Year,24,173112,94584,6816,71712,41.43
MP-2025-29340,2/9/2025,W-010172,Pakistani,Document Controller,Worley KSA,EPC Contractor,Eastern Province,Annual,12,95592,61164,15600,18828,19.7
MP-2025-41186,25/08/2025,W-010174,Indian,Scaffolder,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,48456,25908,11832,10716,22.11
MP-2024-69245,30/05/2025,W-010175,Indonesian,Welder,Royal Commission Jubail,Industrial,Eastern Province,Multi-Year,24,155208,70392,16704,68112,43.88
MP-2025-65872,3/12/2025,W-010176,Bangladeshi,Warehouse Keeper,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,6,29670,15648,6708,7314,24.65
MP-2025-59925,3/9/2025,W-010179,Pakistani,Instrument Technician,Saudi Electricity Co.,Power,Riyadh,Annual,12,78312,41556,15696,21060,26.89
MP-2024-66370,7/4/2025,W-010180,Bangladeshi,Helper / Labourer,Saudi Electricity Co.,Power,Riyadh,Annual,12,34452,17856,10092,6504,18.88
MP-2025-18799,3/4/2024,W-010181,Indian,Welder,Royal Commission Jubail,Industrial,Eastern Province,Multi-Year,18,111294,56484,16146,38664,34.74
MP-2025-97207,9/3/2025,W-010184,Indian,Scaffolder,Sadara Chemical,Petrochemical,Eastern Province,Short-Term,6,28986,13788,4908,10290,35.5
MP-2025-25058,12/10/2024,W-010187,Pakistani,Mechanical Technician,NEOM,Mega Project,Tabuk,Annual,12,107928,48516,12816,46596,43.17
MP-2025-13794,3/7/2024,W-010189,Egyptian,Electrician,Sadara Chemical,Petrochemical,Eastern Province,Short-Term,2,14156,7352,1512,5292,37.38
MP-2024-22026,27/06/2025,W-010190,Pakistani,Mechanical Technician,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,3,27828,13062,2142,411,1.48
MP-2024-98338,24/03/2024,W-010192,Bangladeshi,Industrial Painter,ROSHN,Real Estate,Riyadh,Annual,12,48120,25908,10908,11304,23.49
MP-2025-79066,14/11/2025,W-010194,Indian,Industrial Painter,ROSHN,Real Estate,Riyadh,Short-Term,3,18300,9102,3669,5529,30.21
MP-2024-11013,24/05/2025,W-010197,Bangladeshi,Pipe Fitter,NEOM,Mega Project,Tabuk,Short-Term,6,54846,23400,4224,27222,49.63
MP-2024-67176,20/01/2024,W-010199,Sri Lankan,Driver (Heavy),NEOM,Mega Project,Tabuk,Annual,12,81828,38316,8832,-3987,-4.87
MP-2025-57428,31/03/2024,W-010201,Yemeni,Scaffolder,NEOM,Mega Project,Tabuk,Annual,12,63276,30648,10860,21768,34.4
MP-2024-20011,6/6/2025,W-010204,Indian,Instrument Technician,Marafiq,Utilities,Eastern Province,Short-Term,2,12192,7486,1596,3110,25.51
MP-2024-33218,5/10/2025,W-010206,Bangladeshi,Heavy Equipment Operator,NEOM,Mega Project,Tabuk,Annual,12,116220,52656,16680,46884,40.34
MP-2025-29786,26/03/2025,W-010207,Bangladeshi,QC Inspector,Royal Commission Yanbu,Industrial,Madinah,Annual,12,98748,64332,14940,-2410,-2.44
MP-2025-20057,22/10/2025,W-010208,Filipino,Instrument Technician,Saudi Electricity Co.,Power,Riyadh,Annual,12,120396,60252,11844,48300,40.12
MP-2024-52143,11/9/2025,W-010210,Bangladeshi,Site Supervisor,Saudi Electricity Co.,Power,Riyadh,Multi-Year,24,277656,178728,34032,-12429,-4.48
MP-2025-78690,19/06/2025,W-010213,Indian,Industrial Painter,SABIC,Petrochemical,Eastern Province,Annual,12,59160,27672,14904,16584,28.03
MP-2024-53213,6/4/2024,W-010216,Nepali,Scaffolder,Diriyah Company,Real Estate,Riyadh,Annual,12,81240,39228,10800,31212,38.42
MP-2024-55851,13/11/2024,W-010219,Nepali,Industrial Painter,NEOM,Mega Project,Tabuk,Multi-Year,24,143352,61704,21504,60144,41.96
MP-2024-94675,17/11/2025,W-010221,Bangladeshi,Welder,Sadara Chemical,Petrochemical,Eastern Province,Multi-Year,24,178296,89184,19680,69432,38.94
MP-2024-48770,13/04/2024,W-010224,Egyptian,Helper / Labourer,Petro Rabigh,Petrochemical,Makkah,Short-Term,3,11955,5478,3294,3183,26.62
MP-2024-91885,18/06/2024,W-010227,Bangladeshi,Industrial Painter,Red Sea Global,Tourism Dev,Tabuk,Short-Term,3,17391,7899,3714,5778,33.22
MP-2024-50562,25/04/2025,W-010228,Pakistani,Civil Engineer,Worley KSA,EPC Contractor,Eastern Province,Annual,12,162492,100908,15684,45900,28.25
MP-2024-89254,21/05/2024,W-010230,Indian,Mechanical Technician,Sadara Chemical,Petrochemical,Eastern Province,Multi-Year,18,126342,60660,15390,50292,39.81
MP-2024-67340,3/4/2024,W-010231,Sudanese,Driver (Heavy),Marafiq,Utilities,Eastern Province,Annual,12,60360,33060,11280,16020,26.54
MP-2024-13694,22/11/2024,W-010232,Sudanese,Rigger,Royal Commission Jubail,Industrial,Eastern Province,Short-Term,3,21687,11304,3819,6564,30.27
MP-2025-68799,22/09/2025,W-010233,Sri Lankan,Welder,SABIC,Petrochemical,Eastern Province,Short-Term,6,32958,18264,5196,9498,28.82
MP-2024-41252,5/3/2025,W-010236,Sudanese,Mechanical Technician,Saudi Aramco,Oil & Gas,Eastern Province,Multi-Year,18,156132,73152,21402,61578,39.44
MP-2024-90584,27/12/2024,W-010237,Filipino,Pipe Fitter,Red Sea Global,Tourism Dev,Tabuk,Annual,12,81564,36588,12696,32280,39.58
MP-2024-61177,26/04/2025,W-010238,Nepali,Site Supervisor,SABIC,Petrochemical,Eastern Province,Short-Term,1,10577,5534,1401,3642,34.43
MP-2025-27486,15/02/2024,W-010240,Filipino,Helper / Labourer,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,46224,18948,13488,13788,29.83
MP-2024-69988,7/2/2024,W-010242,Indian,Helper / Labourer,Petro Rabigh,Petrochemical,Makkah,Short-Term,3,11697,4827,3171,3699,31.62
MP-2024-47501,31/12/2024,W-010243,Yemeni,Electrician,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,116736,51480,15852,49404,42.32
MP-2024-75038,9/12/2025,W-010245,Pakistani,Helper / Labourer,SABIC,Petrochemical,Eastern Province,Short-Term,3,9105,4041,3801,1263,13.87
MP-2025-23447,22/03/2024,W-010247,Nepali,Electrician,ROSHN,Real Estate,Riyadh,Annual,12,81000,46932,8184,25884,31.96
MP-2025-90589,21/03/2025,W-010249,Nepali,Helper / Labourer,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,42804,18528,14544,9732,22.74
MP-2024-28714,14/09/2025,W-010252,Sudanese,Welder,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,69456,33432,12900,23124,33.29
MP-2025-58623,15/01/2025,W-010254,Egyptian,Civil Foreman,NEOM,Mega Project,Tabuk,Annual,12,114360,61488,8820,44052,38.52
MP-2025-77861,31/01/2025,W-010257,Indian,Helper / Labourer,Diriyah Company,Real Estate,Riyadh,Short-Term,6,19806,8826,6108,4872,24.6
MP-2024-69250,25/06/2024,W-010260,Bangladeshi,Welder,Red Sea Global,Tourism Dev,Tabuk,Multi-Year,24,167448,78456,25488,63504,37.92
MP-2025-30644,29/12/2025,W-010263,Sri Lankan,Rigger,Royal Commission Jubail,Industrial,Eastern Province,Annual,12,52680,29928,9048,13704,26.01
MP-2024-57303,21/07/2025,W-010266,Pakistani,Helper / Labourer,NEOM,Mega Project,Tabuk,Annual,12,35736,16224,16800,2712,7.59
MP-2025-63665,11/8/2025,W-010267,Indian,Electrician,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,81900,42996,15264,23640,28.86
MP-2024-26912,19/03/2025,W-010270,Sri Lankan,Welder,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,2,11978,4918,1638,5422,45.27
MP-2025-20336,13/09/2024,W-010271,Nepali,Heavy Equipment Operator,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,6,38634,17808,6564,14262,36.92
MP-2024-96341,1/10/2025,W-010274,Sri Lankan,Electrician,Marafiq,Utilities,Eastern Province,Short-Term,1,5798,2754,1228,1816,31.32
MP-2024-84991,2/3/2025,W-010277,Nepali,Instrument Technician,ROSHN,Real Estate,Riyadh,Short-Term,3,24084,12933,3492,7659,31.8
MP-2024-17852,10/6/2024,W-010279,Bangladeshi,Mechanical Technician,Sadara Chemical,Petrochemical,Eastern Province,Short-Term,3,27285,12804,4146,10335,37.88
MP-2025-77499,29/07/2025,W-010280,Pakistani,Mechanical Technician,SABIC,Petrochemical,Eastern Province,Short-Term,1,6418,2901,1298,2219,34.57
MP-2024-52917,14/08/2025,W-010283,Pakistani,Helper / Labourer,Ma'aden,Mining,Northern Borders,Annual,12,38028,19188,8004,10836,28.49
MP-2025-41552,8/8/2024,W-010286,Pakistani,Welder,Ma'aden,Mining,Northern Borders,Multi-Year,36,160596,95652,26316,38628,24.05
MP-2025-57943,16/02/2025,W-010288,Indian,Welder,NEOM,Mega Project,Tabuk,Annual,12,67560,31944,11856,23760,35.17
MP-2024-26864,9/4/2024,W-010290,Pakistani,Document Controller,NEOM,Mega Project,Tabuk,Annual,12,90624,45468,11412,780,0.86
MP-2025-72094,15/06/2025,W-010292,Indian,Driver (Heavy),Saudi Aramco,Oil & Gas,Eastern Province,Multi-Year,24,144048,58272,28896,56880,39.49
MP-2025-76494,5/6/2025,W-010295,Bangladeshi,Heavy Equipment Operator,Ma'aden,Mining,Northern Borders,Short-Term,3,25887,12039,3264,10584,40.89
MP-2024-88238,30/04/2025,W-010297,Saudi,Helper / Labourer,Royal Commission Jubail,Industrial,Eastern Province,Annual,12,63096,33972,4716,24408,38.68
MP-2025-29369,28/11/2025,W-010298,Indian,Project Engineer,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,3,56712,31539,3012,22161,39.08
MP-2025-18163,23/12/2025,W-010299,Bangladeshi,Heavy Equipment Operator,Worley KSA,EPC Contractor,Eastern Province,Annual,12,86796,41736,11940,33120,38.16
MP-2025-98587,28/11/2025,W-010302,Sudanese,Scaffolder,Ma'aden,Mining,Northern Borders,Multi-Year,24,120648,66744,33120,20784,17.23
MP-2025-37168,7/12/2025,W-010305,Bangladeshi,Mechanical Technician,NEOM,Mega Project,Tabuk,Multi-Year,24,175800,81024,25368,69408,39.48
MP-2025-55237,29/05/2024,W-010307,Indian,Project Engineer,Saudi Aramco,Oil & Gas,Eastern Province,Multi-Year,24,517656,299616,38136,179904,34.75
MP-2025-27992,21/04/2024,W-010310,Egyptian,Scaffolder,Saudi Aramco,Oil & Gas,Eastern Province,Multi-Year,24,129360,69432,23040,36888,28.52
MP-2024-99285,20/05/2024,W-010311,Saudi,Site Supervisor,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,269820,136296,6384,127140,47.12
MP-2025-94659,1/3/2024,W-010312,Nepali,Scaffolder,Royal Commission Jubail,Industrial,Eastern Province,Multi-Year,18,102996,59022,23616,20358,19.77
MP-2024-62034,22/05/2025,W-010313,Indonesian,Site Supervisor,Marafiq,Utilities,Eastern Province,Multi-Year,18,167742,97110,30294,40338,24.05
MP-2025-94058,10/7/2025,W-010316,Bangladeshi,Civil Engineer,Saudi Kayan,Petrochemical,Eastern Province,Annual,12,148572,95568,11580,41424,27.88
MP-2025-34405,15/01/2024,W-010319,Pakistani,Scaffolder,Red Sea Global,Tourism Dev,Tabuk,Short-Term,6,43140,19194,7620,16326,37.84
MP-2024-62538,16/11/2025,W-010320,Indian,Pipe Fitter,Sadara Chemical,Petrochemical,Eastern Province,Short-Term,3,18084,9270,2550,6264,34.64
MP-2024-44282,31/10/2025,W-010322,Nepali,Welder,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,3,24024,9894,3948,10182,42.38
MP-2024-93717,29/10/2024,W-010324,Filipino,Scaffolder,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,6,34584,15138,8010,11436,33.07
MP-2024-42435,27/11/2025,W-010327,Yemeni,Welder,Saudi Electricity Co.,Power,Riyadh,Annual,12,54492,27900,8352,18240,33.47
MP-2024-85065,3/7/2025,W-010328,Indian,Helper / Labourer,Saudi Electricity Co.,Power,Riyadh,Annual,12,42360,20760,15888,5712,13.48
MP-2024-69432,15/05/2024,W-010331,Bangladeshi,Heavy Equipment Operator,NEOM,Mega Project,Tabuk,Annual,12,75360,40260,10092,-2340,-3.11
MP-2024-15936,9/3/2025,W-010333,Egyptian,Heavy Equipment Operator,Saudi Aramco,Oil & Gas,Eastern Province,Multi-Year,36,210456,102852,44172,63432,30.14
MP-2025-59081,26/01/2025,W-010335,Yemeni,Warehouse Keeper,Saudi Electricity Co.,Power,Riyadh,Annual,12,75144,39924,13680,21540,28.66
MP-2024-80419,6/2/2025,W-010338,Indian,Site Supervisor,Saudi Kayan,Petrochemical,Eastern Province,Annual,12,155328,89220,17844,48264,31.07
MP-2025-40102,10/9/2024,W-010340,Pakistani,Scaffolder,NWC,Water,Riyadh,Annual,12,51672,25896,11568,14208,27.5
MP-2024-41544,30/07/2024,W-010341,Indian,Welder,NEOM,Mega Project,Tabuk,Annual,12,64200,27336,11424,25440,39.63
MP-2024-17398,23/05/2024,W-010344,Ethiopian,Scaffolder,Marafiq,Utilities,Eastern Province,Annual,12,69204,33696,15168,20340,29.39
MP-2024-96535,17/06/2025,W-010345,Bangladeshi,Scaffolder,NEOM,Mega Project,Tabuk,Annual,12,71808,36348,13908,21552,30.01
MP-2024-55143,20/10/2025,W-010348,Bangladeshi,Heavy Equipment Operator,Diriyah Company,Real Estate,Riyadh,Annual,12,66744,40080,12636,14028,21.02
MP-2024-49418,25/12/2025,W-010349,Sudanese,Warehouse Keeper,NEOM,Mega Project,Tabuk,Multi-Year,24,141144,70656,21552,48936,34.67
MP-2025-58637,4/4/2024,W-010352,Egyptian,Pipe Fitter,SABIC,Petrochemical,Eastern Province,Annual,12,93060,41820,9492,41748,44.86
